ip, threat_collection, threat_collection_key, threat_key, malware_alias, weight
209.141.54.221,ip_intel,cryptolaemus_es_ip_intel|209.141.54.221,cryptolaemus_es_ip_intel,emotet,1
187.161.206.24,ip_intel,cryptolaemus_es_ip_intel|187.161.206.24,cryptolaemus_es_ip_intel,emotet,1
79.137.83.50,ip_intel,cryptolaemus_es_ip_intel|79.137.83.50,cryptolaemus_es_ip_intel,emotet,1
47.146.39.147,ip_intel,cryptolaemus_es_ip_intel|47.146.39.147,cryptolaemus_es_ip_intel,emotet,1
91.211.88.52,ip_intel,cryptolaemus_es_ip_intel|91.211.88.52,cryptolaemus_es_ip_intel,emotet,1
152.170.205.73,ip_intel,cryptolaemus_es_ip_intel|152.170.205.73,cryptolaemus_es_ip_intel,emotet,1
41.185.28.84,ip_intel,cryptolaemus_es_ip_intel|41.185.28.84,cryptolaemus_es_ip_intel,emotet,1
119.59.116.21,ip_intel,cryptolaemus_es_ip_intel|119.59.116.21,cryptolaemus_es_ip_intel,emotet,1
110.145.77.103,ip_intel,cryptolaemus_es_ip_intel|110.145.77.103,cryptolaemus_es_ip_intel,emotet,1
50.91.114.38,ip_intel,cryptolaemus_es_ip_intel|50.91.114.38,cryptolaemus_es_ip_intel,emotet,1
168.235.67.138,ip_intel,cryptolaemus_es_ip_intel|168.235.67.138,cryptolaemus_es_ip_intel,emotet,1
181.165.68.127,ip_intel,cryptolaemus_es_ip_intel|181.165.68.127,cryptolaemus_es_ip_intel,emotet,1
74.40.205.197,ip_intel,cryptolaemus_es_ip_intel|74.40.205.197,cryptolaemus_es_ip_intel,emotet,1
109.74.5.95,ip_intel,cryptolaemus_es_ip_intel|109.74.5.95,cryptolaemus_es_ip_intel,emotet,1
120.150.218.241,ip_intel,cryptolaemus_es_ip_intel|120.150.218.241,cryptolaemus_es_ip_intel,emotet,1
103.86.49.11,ip_intel,cryptolaemus_es_ip_intel|103.86.49.11,cryptolaemus_es_ip_intel,emotet,1
62.171.142.179,ip_intel,cryptolaemus_es_ip_intel|62.171.142.179,cryptolaemus_es_ip_intel,emotet,1
37.139.21.175,ip_intel,cryptolaemus_es_ip_intel|37.139.21.175,cryptolaemus_es_ip_intel,emotet,1
108.21.72.56,ip_intel,cryptolaemus_es_ip_intel|108.21.72.56,cryptolaemus_es_ip_intel,emotet,1
174.118.202.24,ip_intel,cryptolaemus_es_ip_intel|174.118.202.24,cryptolaemus_es_ip_intel,emotet,1
173.63.222.65,ip_intel,cryptolaemus_es_ip_intel|173.63.222.65,cryptolaemus_es_ip_intel,emotet,1
142.112.10.95,ip_intel,cryptolaemus_es_ip_intel|142.112.10.95,cryptolaemus_es_ip_intel,emotet,1
202.134.4.211,ip_intel,cryptolaemus_es_ip_intel|202.134.4.211,cryptolaemus_es_ip_intel,emotet,1
75.143.247.51,ip_intel,cryptolaemus_es_ip_intel|75.143.247.51,cryptolaemus_es_ip_intel,emotet,1
100.37.240.62,ip_intel,cryptolaemus_es_ip_intel|100.37.240.62,cryptolaemus_es_ip_intel,emotet,1
190.29.166.0,ip_intel,cryptolaemus_es_ip_intel|190.29.166.0,cryptolaemus_es_ip_intel,emotet,1
202.141.243.254,ip_intel,cryptolaemus_es_ip_intel|202.141.243.254,cryptolaemus_es_ip_intel,emotet,1
157.245.99.39,ip_intel,cryptolaemus_es_ip_intel|157.245.99.39,cryptolaemus_es_ip_intel,emotet,1
67.10.155.92,ip_intel,cryptolaemus_es_ip_intel|67.10.155.92,cryptolaemus_es_ip_intel,emotet,1
200.116.145.225,ip_intel,cryptolaemus_es_ip_intel|200.116.145.225,cryptolaemus_es_ip_intel,emotet,1
50.245.107.73,ip_intel,cryptolaemus_es_ip_intel|50.245.107.73,cryptolaemus_es_ip_intel,emotet,1
190.146.92.48,ip_intel,cryptolaemus_es_ip_intel|190.146.92.48,cryptolaemus_es_ip_intel,emotet,1
5.39.91.110,ip_intel,cryptolaemus_es_ip_intel|5.39.91.110,cryptolaemus_es_ip_intel,emotet,1
139.59.60.244,ip_intel,cryptolaemus_es_ip_intel|139.59.60.244,cryptolaemus_es_ip_intel,emotet,1
49.50.209.131,ip_intel,cryptolaemus_es_ip_intel|49.50.209.131,cryptolaemus_es_ip_intel,emotet,1
112.185.64.233,ip_intel,cryptolaemus_es_ip_intel|112.185.64.233,cryptolaemus_es_ip_intel,emotet,1
190.240.194.77,ip_intel,cryptolaemus_es_ip_intel|190.240.194.77,cryptolaemus_es_ip_intel,emotet,1
94.23.237.171,ip_intel,cryptolaemus_es_ip_intel|94.23.237.171,cryptolaemus_es_ip_intel,emotet,1
80.227.52.78,ip_intel,cryptolaemus_es_ip_intel|80.227.52.78,cryptolaemus_es_ip_intel,emotet,1
173.173.254.105,ip_intel,cryptolaemus_es_ip_intel|173.173.254.105,cryptolaemus_es_ip_intel,emotet,1
188.219.31.12,ip_intel,cryptolaemus_es_ip_intel|188.219.31.12,cryptolaemus_es_ip_intel,emotet,1
74.75.104.224,ip_intel,cryptolaemus_es_ip_intel|74.75.104.224,cryptolaemus_es_ip_intel,emotet,1
87.106.139.101,ip_intel,cryptolaemus_es_ip_intel|87.106.139.101,cryptolaemus_es_ip_intel,emotet,1
172.86.188.251,ip_intel,cryptolaemus_es_ip_intel|172.86.188.251,cryptolaemus_es_ip_intel,emotet,1
121.124.124.40,ip_intel,cryptolaemus_es_ip_intel|121.124.124.40,cryptolaemus_es_ip_intel,emotet,1
61.19.246.238,ip_intel,cryptolaemus_es_ip_intel|61.19.246.238,cryptolaemus_es_ip_intel,emotet,1
194.4.58.192,ip_intel,cryptolaemus_es_ip_intel|194.4.58.192,cryptolaemus_es_ip_intel,emotet,1
220.245.198.194,ip_intel,cryptolaemus_es_ip_intel|220.245.198.194,cryptolaemus_es_ip_intel,emotet,1
24.179.13.119,ip_intel,cryptolaemus_es_ip_intel|24.179.13.119,cryptolaemus_es_ip_intel,emotet,1
74.135.120.91,ip_intel,cryptolaemus_es_ip_intel|74.135.120.91,cryptolaemus_es_ip_intel,emotet,1
46.105.131.79,ip_intel,cryptolaemus_es_ip_intel|46.105.131.79,cryptolaemus_es_ip_intel,emotet,1
62.30.7.67,ip_intel,cryptolaemus_es_ip_intel|62.30.7.67,cryptolaemus_es_ip_intel,emotet,1
202.134.4.216,ip_intel,cryptolaemus_es_ip_intel|202.134.4.216,cryptolaemus_es_ip_intel,emotet,1
95.213.236.64,ip_intel,cryptolaemus_es_ip_intel|95.213.236.64,cryptolaemus_es_ip_intel,emotet,1
85.105.111.166,ip_intel,cryptolaemus_es_ip_intel|85.105.111.166,cryptolaemus_es_ip_intel,emotet,1
24.178.90.49,ip_intel,cryptolaemus_es_ip_intel|24.178.90.49,cryptolaemus_es_ip_intel,emotet,1
203.153.216.189,ip_intel,cryptolaemus_es_ip_intel|203.153.216.189,cryptolaemus_es_ip_intel,emotet,1
76.27.179.47,ip_intel,cryptolaemus_es_ip_intel|76.27.179.47,cryptolaemus_es_ip_intel,emotet,1
190.162.215.233,ip_intel,cryptolaemus_es_ip_intel|190.162.215.233,cryptolaemus_es_ip_intel,emotet,1
137.59.187.107,ip_intel,cryptolaemus_es_ip_intel|137.59.187.107,cryptolaemus_es_ip_intel,emotet,1
161.0.153.60,ip_intel,cryptolaemus_es_ip_intel|161.0.153.60,cryptolaemus_es_ip_intel,emotet,1
